               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071838,            0.021251,            0.066121,             0.23502,             0.38154,             0.11683,            0.064528,            0.029124,           0.0064958,             0.04254,            0.070034,           0.0033296,           0.0033296
                   1,            0.044013,            0.014026,             0.05769,             0.22283,             0.31382,             0.15746,             0.10094,            0.024789,           0.0048627,            0.039033,            0.039968,           0.0065969,           0.0065969
                   2,            0.040822,            0.011128,            0.054791,             0.30438,             0.44362,             0.22956,               0.137,            0.026757,           0.0042962,            0.035366,            0.009836,           0.0097983,           0.0097983
                   3,            0.037412,             0.01006,            0.051506,             0.24093,             0.55491,             0.25174,             0.13811,            0.022557,           0.0039169,             0.03327,            0.009703,            0.009703,            0.009703
                   4,            0.035487,           0.0092848,             0.04822,             0.26849,             0.61112,             0.31323,             0.21218,             0.02033,            0.003794,            0.030505,            0.009703,            0.009703,            0.009703
                   5,            0.033468,           0.0087097,            0.045808,             0.35932,             0.46354,             0.36422,             0.23455,            0.019805,           0.0036046,            0.028416,            0.009604,            0.009604,            0.009604
                   6,            0.032017,           0.0084305,            0.043839,             0.27153,             0.52653,             0.38984,             0.24997,            0.018736,           0.0034029,            0.026826,            0.009505,            0.009505,            0.009505
                   7,            0.031022,           0.0082863,             0.04241,             0.37131,             0.51849,             0.42128,             0.28929,            0.017956,           0.0034254,            0.026456,            0.009406,            0.009406,            0.009406
                   8,            0.029924,           0.0080418,            0.041224,             0.36776,             0.53062,             0.41812,             0.29806,            0.017503,           0.0033349,            0.025825,            0.009307,            0.009307,            0.009307
                   9,            0.028989,           0.0081211,            0.040669,             0.41944,             0.51887,              0.4415,             0.30368,            0.017185,           0.0032608,            0.024349,            0.009208,            0.009208,            0.009208
                  10,            0.028499,           0.0079464,            0.039762,             0.44022,             0.55706,             0.46692,             0.33633,            0.017077,           0.0031988,            0.023396,            0.009109,            0.009109,            0.009109
                  11,            0.027468,           0.0078369,            0.037744,              0.4606,             0.63698,             0.50831,             0.37632,            0.015549,           0.0030651,            0.023094,             0.00901,             0.00901,             0.00901
                  12,            0.027587,           0.0076442,            0.037951,             0.50846,             0.61604,             0.53804,             0.38335,            0.016225,           0.0031637,            0.021378,            0.008911,            0.008911,            0.008911
                  13,            0.026485,           0.0077192,            0.035855,             0.50381,             0.66271,             0.57004,             0.41702,            0.017105,           0.0030648,            0.019955,            0.008812,            0.008812,            0.008812
                  14,            0.026174,           0.0074619,            0.036142,              0.5502,             0.72559,              0.6334,             0.46786,            0.016234,           0.0031622,            0.019647,            0.008713,            0.008713,            0.008713
                  15,            0.026288,           0.0075238,             0.03366,             0.59554,             0.73459,             0.69753,              0.5286,            0.015517,           0.0030136,             0.01786,            0.008614,            0.008614,            0.008614
                  16,            0.026176,           0.0074481,            0.032132,             0.66114,             0.75809,             0.74702,             0.57293,            0.015094,            0.003145,            0.016436,            0.008515,            0.008515,            0.008515
                  17,            0.025932,           0.0073719,            0.031444,              0.6779,             0.76231,             0.77081,             0.58534,            0.015425,           0.0030558,            0.014474,            0.008416,            0.008416,            0.008416
                  18,            0.025867,           0.0074135,            0.030689,             0.71399,             0.74732,             0.78524,             0.59552,            0.015419,           0.0030795,             0.01366,            0.008317,            0.008317,            0.008317
                  19,            0.025394,           0.0073914,            0.029796,             0.70216,             0.79226,             0.78464,             0.60325,            0.015786,           0.0030131,            0.012627,            0.008218,            0.008218,            0.008218
                  20,            0.024593,           0.0071882,            0.028676,              0.8126,             0.76271,             0.83062,             0.64286,            0.015194,           0.0028925,            0.011591,            0.008119,            0.008119,            0.008119
